epoch,train_loss,val_loss,mAP,best_mAP,lr,epoch_time_sec
1,4.376159531576139,3.7808349547178848,2.4203853561193936e-05,2.4203853561193936e-05,1e-05,187.63227128982544
2,2.86345154637689,2.363037860911825,0.004058924561413681,0.004058924561413681,0.000208,122.35582280158997
3,2.060083418279081,1.8464600625245466,0.06669937989278824,0.06669937989278824,0.00040599999999999995,89.17466330528259
4,1.725267024727555,1.6158953075823577,0.05721166562048983,0.06669937989278824,0.0006039999999999999,61.07586050033569
5,1.556216434852497,1.5572215629660564,0.0474101937141959,0.06669937989278824,0.0008019999999999999,57.049314975738525
6,1.4438436836809725,1.4578241148720616,0.04595973790236396,0.06669937989278824,0.001,56.74110531806946
7,1.3017156183182657,1.3465812698654507,0.03211939118441015,0.06669937989278824,0.0009998838225191496,56.39502453804016
8,1.1733896165817708,1.2248620287231777,0.12307463896936129,0.12307463896936129,0.0009995353446107685,56.09032678604126
9,1.131388145255613,1.206296311772388,0.17058317382093563,0.17058317382093563,0.0009989547298517678,55.63741707801819
10,1.105508135245727,1.1548852518848751,0.11866065229352106,0.17058317382093563,0.0009981422507850165,55.788321018218994
11,1.0615251767742742,1.0811756654925968,0.14132096844609862,0.17058317382093563,0.0009970982887914082,55.488282918930054
12,1.0477796178143304,1.1770096226878788,0.1543534655631129,0.17058317382093563,0.00099582333391084,55.619343519210815
13,1.0043136082790993,1.0719024862932123,0.22989384715015418,0.22989384715015418,0.0009943179846121858,55.50722527503967
14,0.9928623625824043,1.0657983564812203,0.26788525744030484,0.26788525744030484,0.0009925829475123718,55.59958624839783
15,0.9793332401696626,1.0656007398729739,0.24875588526771145,0.26788525744030484,0.0009906190370446888,55.24875068664551
16,0.9526888376420682,1.0735361459462538,0.17427580005826307,0.26788525744030484,0.0009884271750764933,55.52332425117493
17,0.9361563343722541,1.1379126077112944,0.2894517666663023,0.2894517666663023,0.0009860083904764795,55.76558208465576
18,0.957446224249161,1.1071665740531424,0.16735192751290873,0.2894517666663023,0.0009833638186317246,55.60161590576172
19,0.9200956985220179,1.0167408818783967,0.31702247751639107,0.31702247751639107,0.0009804947009147329,55.124778032302856
20,0.90267000837369,1.009803232939347,0.27181075894962164,0.31702247751639107,0.0009774023841007313,55.6712908744812
21,0.9008888835842545,1.0603169112101845,0.23449736135680832,0.31702247751639107,0.0009740883197354872,55.59479761123657
22,0.8923636116423048,1.0968133729437124,0.2121093630837011,0.31702247751639107,0.0009705540634539474,55.54106616973877
23,0.9105103080337112,1.0249790886174077,0.2694943425023887,0.31702247751639107,0.0009668012742500167,55.411484479904175
24,0.8618485898047954,0.9845078989215519,0.296774965961752,0.31702247751639107,0.00096283171369782,55.52954721450806
25,0.85992320566564,0.9394006988276606,0.3549416089783034,0.3549416089783034,0.0009586472451248118,55.869786739349365
26,0.8468132400297904,1.0077829270259193,0.3305521076323327,0.3549416089783034,0.0009542498327371237,55.52004098892212
